Country,Density,Mortality,GDP,Unemployment,emissions,continent,wage,population
Oman,14.60572213,8.7,19509.46646,1.9,69900,Asia,4.33,5128058
Pakistan,300.179168,52.8,1505.010193,6.34,197700,Asia,0.69,221612785
Palau,39.1826087,15.1,12083.88815,..,270,..,3,18109
Panama,58.65822324,11.9,15491.28979,10.29,10250,North America,1.53,4326296
Papua New Guinea,21.970227,34.4,2644.537173,..,7700,Oceania,1.16,8975531
Paraguay,16.8733929,15.6,5959.441763,7.31,8000,South America,1.55,7147553
Peru,26.34021172,11,6635.463923,5.1,53990,South America,1.28,33050211
Philippines,381.9308717,20.5,3460.539401,3.4,136590,Asia,1.12,109830324
Poland,123.3163149,3.7,17999.83227,3.36,312820,Europe,2.93,37839255
Portugal,112.7130547,2.5,24598.47279,6.58,53330,Europe,3.78,10191409
Puerto Rico,367.834611,..,32601.56564,7.9,..,North America,1.57,2846860
Qatar,233.9630113,4.5,66838.32764,0.14,87680,Asia,0,2889284
Romania,83.10100834,5.3,14927.11686,5.59,74100,Europe,2.25,19214608
Russian Federation,8.759261446,4.1,12593.15723,4.72,#N/A,#N/A,5.25,#N/A
Rwanda,545.6784759,29.7,821.2281941,15.79,1050,Africa,0,13005303
Samoa,78.69208633,14.4,3857.356685,..,300,..,0.78,198643
San Marino,562.4166667,1.5,54982.45172,6.34,..,Europe,0,33944
Sao Tome and Principe,232.403125,12.1,2360.543554,..,130,Africa,5.25,..
Saudi Arabia,16.72352572,5.7,24160.67605,6.62,540700,Asia,3.85,34905942
Senegal,87.6576118,29.1,1633.560119,..,9570,Africa,0.31,16816539
Serbia,81.27394458,4.7,9230.174447,10.06,46900,Europe,1.57,8731081
Seychelles,215.7782609,12,12963.06467,..,590,Africa,2,98453
Sierra Leone,116.661693,78.3,504.6212722,..,970,Africa,0.57,8004158
Singapore,7595.495822,1.7,77710.06996,4.64,47430,Asia,0,5858322
Sint Maarten (Dutch part),1260.176471,..,32316.59598,..,..,..,4.3,..
Slovak Republic,113.2954867,4.6,21782.85507,6.89,33580,Europe,8.6,..
Slovenia,104.6899644,1.8,29291.40062,4.74,14140,Europe,5.25,2078989
Solomon Islands,25.28942479,16.1,2232.536956,..,350,..,0.4,689671
Somalia,27.20308126,71.1,446.9815596,..,660,Africa,0,15965848
South Africa,48.95947951,26.4,7055.055176,28.77,435140,Africa,0,59436725
South Sudan,17.00864336,63.8,..,..,1520,Africa,0,11216250
Spain,94.88212075,2.6,30103.51373,14.78,263440,Europe,5.6,46757980
Sri Lanka,358.1635952,5.8,3994.246958,..,23310,Asia,0.35,21428970
St. Kitts and Nevis,183.1,12.3,18082.68799,..,240,North America,2,..
St. Lucia,294.5098361,22.4,9414.137741,19.58,370,North America,0.09,..
St. Martin (French part),638.96,..,..,..,..,Europe,1.57,..
St. Vincent and the Grenadines,267.5179487,12.6,8360.101059,..,270,North America,0.24,..
Sudan,24.44175696,38.9,749.7067871,..,20340,Africa,0.41,44019263
Suriname,3.929391026,15.4,4869.134226,..,2130,South America,0,587541
Sweden,25.57385697,2,61143.22124,8.72,38330,Europe,0,10110233
